Master Category,Date,Description,Amount
,2/6/2008,Active *Active Aidsm 877-228-4881Ca 102.18,102.18
Credit Card/Loan Payments,2/6/2008,Bill Pay Wells Fargo Educ Recurring 0443139183 On 02/06 300.00,300.00
Groceries,2/7/2008,Nob Hill #628 Nob Hill #Redwood City Ca 7.07,7.07
Auto/Transportation,2/7/2008,7-Eleven 7-Eleven San Francisco,8.99
Bills/Utilities,2/7/2008,Golden Gate Disp & 415-626-4000Ca 143.34,143.34
Groceries,2/8/2008,Safeway Store Safeway Ssan Francisco 18.75,18.75
Auto/Transportation,2/8/2008,Union 76 10028231 San Carlos Ca 39.22,39.22
Groceries,2/9/2008,Delano'S Iga Madelano'S Isan Francisco 36.93,36.93
Cash/ATM,2/9/2008,ATM Withdrawal 02/09 Lk102214 2901 Sacramento2901 Sacrasan Francisco 61.75,61.75
Food/Drink,2/10/2008,Round Table Pizza Sf G San Francisco Ca 39.89,39.89
Other Spending,2/11/2008,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Groceries,2/11/2008,Safeway Store Safeway Ssan Francisco 5.28,5.28
Food/Drink,2/11/2008,Una Mas Redwood City Ca 044840007757486 8.76,8.76
Bills/Utilities,2/11/2008,Bill Pay Comcast Cable Co Recurring,87.33
Other Spending,2/12/2008,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1.00
Food/Drink,2/12/2008,The Patio Cafe Redwood City Ca 4.50,4.50
Other Spending,2/12/2008,Monthly Service Fee 5.00,5.00
Food/Drink,2/12/2008,Una Mas Redwood City Ca 045840008052157 9.03,9.03
Food/Drink,2/13/2008,Starbucks Usa 00055848 San Francisco Ca 1.75,1.75
Food/Drink,2/13/2008,Pluto'S 1 Marina Q23 San Francisco Ca 8.68,8.68
Food/Drink,2/13/2008,Subway Belmont Store # Belmont Ca 9.19,9.19
Auto/Transportation,2/13/2008,Arco Paypoint Arco Paypobelmont Ca 38.99,38.99
,2/13/2008,Hospice Of San Luis San Ls Obispo Ca 65.00,65.00
Transfers to other Wells Fargo Accounts,2/13/2008,Online Transfer To Dumasius A Ref #Ibemk535Fn Checking Money For Tahoe 110.00,110.00
Checks Written,2/14/2008,Check # 375,1.00
Food/Drink,2/14/2008,Starbucks Usa 00055848 San Francisco Ca 3.50,3.50
Food/Drink,2/15/2008,Starbucks Usa00055848San,3.40
,2/15/2008,Nnt Haight And Nnt,7.57
Groceries,2/15/2008,Safewaystore,14.07
Food/Drink,2/15/2008,Sushi Monster Belmont,28.00
,2/15/2008,Olympian Pachecosan,38.63
,2/16/2008,Clement Store San,6.00
Cash/ATM,2/16/2008,ATM Withdrawal - 02/16 808916422254 Clement,62.00
,2/16/2008,Kragen,127.09
Groceries,2/17/2008,Tigers Liquors Tigers,21.10
,2/18/2008,02/18 Exploring Music San Francisco Ca 17.35,17.35
Mortgage / Rent,2/18/2008,Rent Check # 390,45.00
Other Spending,2/19/2008,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Food/Drink,2/19/2008,The Patio Caferedwood City,9.73
Food/Drink,2/20/2008,Starbucks Usa 00054205 Redwood City Ca 4.70,4.70
Food/Drink,2/20/2008,Baja Fresh10278San Carlos,9.03
Auto/Transportation,2/20/2008,7-Eleven 7-Eleven,9.15
Auto/Transportation,2/20/2008,Union 76 10028231 San Carlos Ca 42.41,42.41
,2/20/2008,Hostrocket.Com 800-6549256Ny 149.71,149.71
,2/21/2008,The Ups Store # 0426 Belmont Ca 30.78,30.78
Food/Drink,2/22/2008,Starbucks Usa 00055848 San Francisco Ca 3.50,3.50
Food/Drink,2/22/2008,Una Mas Redwood City Ca 055840011297641 8.16,8.16
Cash/ATM,2/22/2008,ATM Withdrawal 02/22 0158A 1045 Ralston Ave Belmont Ca 40.00,40.00
Auto/Transportation,2/23/2008,7-Eleven 7-Eleven San Francisco,12.25
Auto/Transportation,2/23/2008,Union 76 10034015 San Francisco Ca 15.00,15.00
,2/23/2008,Amazon.Com Amzn.Com/Bill Wa 27.87,27.87
Food/Drink,2/23/2008,Round Table Pizza Sf G San Francisco Ca 32.00,32.00
Groceries,2/24/2008,Delano'S Iga Madelano'S Isan Francisco 28.92,28.92
Food/Drink,2/25/2008,The Patio Cafe Redwood City Ca 9.46,9.46
Auto/Transportation,2/25/2008,Valero 7218 Hayward Ca 058840007248496 41.69,41.69
Groceries,2/26/2008,Nob Hill #628 Nob Hill #Redwood City Ca 7.07,7.07
Cash/ATM,2/26/2008,ATM Withdrawal 02/26 0045C 725 Irving St San Francisco Ca 60.00,60.00
Food/Drink,2/27/2008,Bills Place San Francisco Ca 060840006383828 28.33,28.33
,2/28/2008,Travelocity.Com 800-256-9089Tx 6.00,6.00
Auto/Transportation,2/28/2008,Union 76 10028231 San Carlos Ca 40.59,40.59
Food/Drink,2/28/2008,Paulines Pizza San Francisco Ca 62.08,62.08
,2/28/2008,American Ai 0017116601 San Antonio Tx 139.00,139.00
Food/Drink,2/29/2008,Chipotle #0231 Q76 Berkeley Ca 9.03,9.03
Groceries,2/29/2008,Tigers Liquors Tigers Liqsan Francisco 11.34,11.34
,2/29/2008,Yellow Cab Of San Fran San Francisco Ca 20.00,20.00
Shopping,2/29/2008,The Sports Basement San Francisco Ca 26.25,26.25
Shopping,2/29/2008,The Sports Basement San Francisco Ca 80.07,80.07
Other Spending,3/1/2008,Bill Pay Service Fee On 03/01 6.95,6.95
,3/1/2008,Raleys #119 Raleys #11South Lake T Ca 61.20,61.20
,3/2/2008,Heavenly Lift Tkts/Ski So Lake Tahoe Ca 68.00,68.00
Cash/ATM,3/2/2008,ATM Withdrawal 03/02 9960S 110 Highway 50 Stateline Nv 120.00,120.00
Food/Drink,3/4/2008,Una Mas Redwood City Ca 066840008023954 8.49,8.49
Groceries,3/5/2008,Delano'S Iga Madelano'S Isan Francisco 14.20,14.20
Auto/Transportation,3/5/2008,Union 76 10028231 San Carlos Ca 43.11,43.11
Payments to Non-Wells Fargo Credit Cards,3/5/2008,Bill Pay Bank Of America Recurring,150.00
Groceries,3/6/2008,Nob Hill #628 Nob Hill #Redwood City Ca 13.94,13.94
Groceries,3/6/2008,Nob Hill #628 Nob Hill #Redwood City Ca 22.45,22.45
Credit Card/Loan Payments,3/6/2008,Bill Pay Wells Fargo Educ Recurring 0443139183 On 03/06 400.00,400.00
Groceries,3/7/2008,Nob Hill #628 Nob Hill #Redwood City Ca 7.07,7.07
,3/7/2008,Medjool San Francisco Ca 070840010030592 10.00,10.00
Auto/Transportation,3/7/2008,Valero #7235 Oakland Ca 069840010621638 46.34,46.34
Cash/ATM,3/7/2008,ATM Withdrawal 03/07 1176T 4Th & Brannan San Francisco Ca 60.00,60.00
Cash/ATM,3/8/2008,ATM Withdrawal 03/08 P30534 511 Valencia Truly Medisan Francisco 42.00,42.00
Cash/ATM,3/8/2008,ATM Withdrawal 03/08 T8201003 1066 Grant Ave United Comsan Francisco 81.50,81.50
,3/9/2008,Impala San Francisco Ca 070840009005179 36.00,36.00
,3/9/2008,Arguello Supermarguello Ssan Francisco 42.69,42.69
Food/Drink,3/10/2008,Starbucks Usa 00055848 San Francisco Ca 1.75,1.75
Other Spending,3/10/2008,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Other Spending,3/10/2008,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Food/Drink,3/10/2008,Subway Belmont Store # Belmont Ca 7.91,7.91
Food/Drink,3/11/2008,The Patio Cafe Redwood City Ca 4.00,4.00
Food/Drink,3/11/2008,Gordo Taqueria Ge San Francisco Ca 6.84,6.84
Food/Drink,3/11/2008,Old County Deli Belmont Ca 10.45,10.45
,3/11/2008,Cns Epress Llc Cns Epresssan Mateo Ca 128.55,128.55
Mortgage / Rent,3/11/2008,Rent Check # 379,800.00
Other Spending,3/12/2008,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1.00
Other Spending,3/12/2008,Monthly Service Fee 5.00,5.00
Food/Drink,3/12/2008,Quiznos Subs #4120 Belmont Ca 9.71,9.71
Auto/Transportation,3/12/2008,Union 76 10028231 San Carlos Ca 40.68,40.68
Food/Drink,3/13/2008,Starbucks Usa 00055848 San Francisco Ca 3.40,3.40
Cash/ATM,3/13/2008,ATM Withdrawal 03/13 0158C 1045 Ralston Ave Belmont Ca 60.00,60.00
Bills/Utilities,3/13/2008,Bill Pay Comcast Cable Co Recurring,87.33
Groceries,3/14/2008,Nob Hill #628 Nob Hill #Redwood City Ca 23.69,23.69
Auto/Transportation,3/14/2008,Union 76 00373118 Oakland Ca 45.39,45.39
Entertainment,3/16/2008,Double Dutch San Francisco Ca 17.00,17.00
Entertainment,3/16/2008,Double Dutch San Francisco Ca 23.00,23.00
Food/Drink,3/16/2008,Thai Time Restaura 415-831-3663Ca 33.20,33.20
Food/Drink,3/17/2008,Starbucks Usa 00055848 San Francisco Ca 3.50,3.50
Food/Drink,3/17/2008,Una Mas Redwood City Ca 079840008232667 8.76,8.76
Groceries,3/17/2008,Delano'S Iga Madelano'S Isan Francisco 20.60,20.60
Food/Drink,3/18/2008,The Patio Cafe Redwood City Ca 4.50,4.50
Food/Drink,3/18/2008,Baja Fresh 10278 San Carlos Ca 9.24,9.24
Food/Drink,3/19/2008,The Patio Cafe Redwood City Ca 4.50,4.50
Auto/Transportation,3/19/2008,Union 76 00463232 Belmont Ca 46.23,46.23
Other Spending,3/20/2008,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Food/Drink,3/20/2008,Cafico Coffee &Cafico Cofsan Francisco 3.65,3.65
Food/Drink,3/20/2008,Una Mas Redwood City Ca 083840019456667 9.03,9.03
Transfers to other Wells Fargo Accounts,3/20/2008,Recurring Transfer Ref #Opex8Dtjrk To Savings,10.00
Other Spending,3/20/2008,Sfgov Parking Ticket P 415-5545785Ca 40.00,40.00
Cash/ATM,3/20/2008,ATM Withdrawal 03/20 Icad6308 *Market-Van Nesbank Of Amsan Francisco 63.00,63.00
Food/Drink,3/21/2008,Starbucks Usa 00055848 San Francisco Ca 3.50,3.50
Personal Care,3/21/2008,Supercuts Ca #8723 Belmont Ca 18.00,18.00
Cash/ATM,3/21/2008,ATM Withdrawal 03/21 80891642 2254 Clement Stcigarette San Francisco 82.00,82.00
Checks Written,3/21/2008,Check # 380,90.00
Groceries,3/22/2008,Park Presidio Li San Francisco Ca 15.06,15.06
Food/Drink,3/22/2008,Roadside Bbq San Francisco Ca 15.10,15.10
Other Spending,3/24/2008,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Auto/Transportation,3/24/2008,Shell Oil 27441747907 San Francisco Ca 35.97,35.97
Food/Drink,3/25/2008,Sushi Monster Belmont Ca 087840007187876 25.57,25.57
Cash/ATM,3/25/2008,ATM Withdrawal 03/25 4258A San Francisco Divisad San Francisco Ca 80.00,80.00
Auto/Transportation,3/26/2008,Union 76 10032571 San Francisco Ca 42.87,42.87
Auto/Transportation,3/26/2008,Les Schwab #669 San Carlos Ca 227.24,227.24
Groceries,3/27/2008,Nob Hill #628 Nob Hill #Redwood City Ca 12.47,12.47
Shopping,3/28/2008,Paypal *Waterspeare 402-935-7733Ca 6.45,6.45
Food/Drink,3/28/2008,The Patio Cafe Redwood City Ca 7.73,7.73
Auto/Transportation,3/28/2008,7-Eleven 7-Eleven San Francisco,17.51
Entertainment,3/28/2008,Tickets* Sf Giant00 Of 800-3520212Ca 23.25,23.25
Entertainment,3/28/2008,The Bitter End San Francisco Ca 32.00,32.00
Shopping,3/28/2008,Buy.Com Www.Buy.Com. Ca 127.38,127.38
Food/Drink,3/29/2008,At&T Park Concess San Francisco Ca 16.50,16.50
Food/Drink,3/29/2008,At&T Park Concess San Francisco Ca 17.00,17.00
Shopping,3/29/2008,Paypal *Zonie1777 402-935-7733Ca 40.00,40.00
Food/Drink,3/29/2008,Ghirardelli #101-Mnq25 San Francisco Ca 75.95,75.95
Cash/ATM,3/29/2008,ATM Withdrawal 03/29 0021F 2055 Chestnut St San Francisco Ca 80.00,80.00
Auto/Transportation,3/30/2008,Shell Oil 57441083201 Atascadero Ca 41.08,41.08
Food/Drink,3/31/2008,Baja Fresh 10278 San Carlos Ca 8.65,8.65
Auto/Transportation,3/31/2008,Kragen #4125 Kragen #San Carlos Ca 17.31,17.31
Shopping,3/31/2008,Buy.Com Www.Buy.Com. Ca 32.72,32.72
Auto/Transportation,3/31/2008,Union 76 00250142 San Francisco Ca 45.88,45.88
Other Spending,4/1/2008,Bill Pay Service Fee On 04/01 6.95,6.95
Food/Drink,4/1/2008,The Patio Cafe Redwood City Ca 10.80,10.80
Shopping,4/2/2008,Pp *Compusa Com 402-935-7733Fl 44.74,44.74
Food/Drink,4/3/2008,Una Mas Redwood City Ca 097840019183631 9.14,9.14
Food/Drink,4/4/2008,Pluto'S 1 Marina Q23 San Francisco Ca 12.64,12.64
Auto/Transportation,4/4/2008,Valero 7200 Valero 720Berkeley Ca,14.98
Auto/Transportation,4/4/2008,Valero #7200 Berkeley Ca 097840011429200 47.98,47.98
Cash/ATM,4/4/2008,ATM Withdrawal 04/04 1117J Redwood Shores Pkwy Redwood City Ca 60.00,60.00
Personal Care,4/6/2008,Taxact *Online 2 800-573-4287Ia 13.95,13.95
Entertainment,4/6/2008,Double Dutch San Francisco Ca 25.00,25.00
Groceries,4/6/2008,Delano'S Iga Madelano'S Isan Francisco 38.44,38.44
Personal Care,4/6/2008,Justgiving.Com/Cc (Online Donat Gb 59.64,59.64
Auto/Transportation,4/7/2008,Holly Gas & Dieholly Gas San Carlos Ca 7.40,7.40
Shopping,4/7/2008,Sou Best Buy #1Sou Best Bsan Carlos Ca 8.65,8.65
Food/Drink,4/7/2008,Baja Fresh 10278 San Carlos Ca 10.26,10.26
Payments to Non-Wells Fargo Credit Cards,4/7/2008,Bill Pay Bank Of America Recurring,150.00
Mortgage / Rent,4/7/2008,Rent Check # 381,775.00
Other Spending,4/8/2008,Foreign Curr Conv Fee 099840011351179,1.79
Groceries,4/8/2008,Nob Hill 628 Nob Hill Redwood City Ca 7.07,7.07
Shopping,4/8/2008,Bill Pay Macy'S (For All On-Line,235.15
Credit Card/Loan Payments,4/8/2008,Bill Pay Wells Fargo Educ Recurring 0443139183 On 04/08 510.00,510.00
Groceries,4/9/2008,Safeway Store Safeway Sbelmont Ca,68.54
Other Spending,4/10/2008,Monthly Service Fee 5.00,5.00
Food/Drink,4/10/2008,Baja Fresh 10278 San Carlos Ca 9.24,9.24
Cash/ATM,4/10/2008,ATM Withdrawal 04/10 80891642 2254 Clement Stcigarette San Francisco 42.00,42.00
Auto/Transportation,4/10/2008,Union 76 10032571 San Francisco Ca 45.41,45.41
Other Spending,4/11/2008,Non-Wells Fargo ATM Transaction Fee 2.50,2.50
Groceries,4/11/2008,Tigers Liquors Tigers Liqsan Francisco 28.06,28.06
Bills/Utilities,4/11/2008,Bill Pay Comcast Cable Co Recurring,87.33
Groceries,4/12/2008,Safeway Store Safeway Ssan Francisco 28.73,28.73
Health,4/12/2008,Walgreen Companwalgreen Csan Francisco 31.20,31.20
Groceries,4/13/2008,Safeway Store Safeway Ssan Francisco 11.06,11.06
Food/Drink,4/13/2008,Bills Place San Francisco Ca 105840009087972 28.05,28.05
Shopping,4/13/2008,Radio Shack Radio Shacsan Francisco 32.54,32.54
Food/Drink,4/14/2008,Una Mas Redwood City Ca 107840008358240 8.49,8.49
Auto/Transportation,4/14/2008,Union 76 10028231 San Carlos Ca 46.92,46.92
Shopping,4/15/2008,Sou Best Buy #1Sou Best Bsan Carlos Ca 4.32,4.32
Groceries,4/15/2008,Delano'S Iga Madelano'S Isan Francisco 13.05,13.05
Food/Drink,4/16/2008,Subway Belmont Store # Belmont Ca 7.91,7.91
Personal Care,4/16/2008,Supercuts Ca #8723 Belmont Ca 18.00,18.00
Cash/ATM,4/16/2008,ATM Withdrawal 04/16 1117J Redwood Shores Pkwy Redwood City Ca 40.00,40.00
Food/Drink,4/17/2008,Starbucks Usa 00055848 San Francisco Ca 3.50,3.50
Health,4/18/2008,Walgreen Companwalgreen Csan Francisco 7.53,7.53
Health,4/18/2008,Walgreen Companwalgreen Csan Francisco 15.00,15.00
Auto/Transportation,4/18/2008,Shell Oil 27441747907 San Francisco Ca 47.32,47.32
Groceries,4/19/2008,Tigers Liquors Tigers Liqsan Francisco 10.25,10.25
Food/Drink,4/20/2008,Noah'S Ny Bagels #2147 San Francisco Ca 7.35,7.35
,4/20/2008,Clement Mini Maclement Misan Francisco 21.50,21.50
Groceries,4/21/2008,Nob Hill #628 Nob Hill Redwood City Ca 7.03,7.03
Transfers to other Wells Fargo Accounts,4/21/2008,Recurring Transfer Ref #Opemkc2D7V To Savings,10.00
,4/21/2008,Pyramid Alehouse Bk 14 Berkley Ca 70.00,70.00
Auto/Transportation,4/22/2008,Shell Oil 27441747907 San Francisco Ca 40.87,40.87
Cash/ATM,4/22/2008,ATM Withdrawal 04/22 2024B 1750 Divisadero St San Francisco Ca 60.00,60.00
Credit Card/Loan Payments,4/22/2008,"Bill Pay Wells Fargo Educ On-Line 0443139183 On 04-22 3,000.00","$3,000.00"
Groceries,4/23/2008,Safeway Store Safeway Ssan Francisco 214.85,214.85
Shopping,4/24/2008,Amz*Amazon Payments Amzn.Com/Bill Wa 13.97,13.97
,4/24/2008,Tablespoon San Francisco Ca 27.00,27.00
Food/Drink,4/25/2008,Starbucks Usa 00055848 San Francisco Ca 1.75,1.75
Checks Written,4/25/2008,Check # 376,100.00
,4/26/2008,Cal-Mart Super Cal-Mart Ssan Francisco 7.98,7.98
Auto/Transportation,4/27/2008,Chevron 00090032 San Francisco Ca 48.10,48.10
Groceries,4/28/2008,Nob Hill #628 Nob Hill Redwood City Ca 16.97,16.97
Shopping,4/29/2008,Sou Gamestop #2Sou Gamestsan Francisco 54.24,54.24
,4/30/2008,ATM Purchase 04/30 0158A 1045 Ralston Ave Belmont Ca 9.00,9.00
Other Spending,5/1/2008,Bill Pay Service Fee On 05/01 6.95,6.95
Auto/Transportation,5/1/2008,Shell Oil 27441747907 San Francisco Ca 45.62,45.62
Cash/ATM,5/1/2008,ATM Withdrawal 05/01 0158A 1045 Ralston Ave Belmont Ca 60.00,60.00
Food/Drink,5/2/2008,Sushi Monster Belmont Ca 123840012108110 30.00,30.00
,5/3/2008,Stout New York Ny 125840011114890 43.60,43.60
,5/3/2008,O M G New York Ny 125840014384517 139.99,139.99
,5/4/2008,Sou Metrocard Vsou Metrocbrooklyn Ny 5.00,5.00
,5/4/2008,Jack Inthe Box08405581 San Francisco Ca 6.28,6.28
,5/4/2008,Savalas Brooklyn Ny 126840007961392 27.00,27.00
,5/4/2008,T2 Bonfire Jfk Jamaica Ny 127840005359865 30.00,30.00
,5/4/2008,The Skinny 1 New York Ny 34.00,34.00
,5/4/2008,Central Parking 10001 San Francisco Ca 52.00,52.00
Cash/ATM,5/4/2008,ATM Withdrawal 05/04 Lk557201 97 Stanton St. J A E Grocnew York Ny 61.75,61.75
Other Spending,5/5/2008,Non-Wells Fargo ATM Transaction Fee 2.50,2.50
Food/Drink,5/5/2008,Baja Fresh 10278 San Carlos Ca 10.22,10.22
Food/Drink,5/6/2008,Subway Belmont Store # Belmont Ca 11.03,11.03
Food/Drink,5/6/2008,Cable Car Pizza Geary San Francisco Ca 21.45,21.45
Payments to Non-Wells Fargo Credit Cards,5/6/2008,Bill Pay Bank Of America Recurring,150.00
Credit Card/Loan Payments,5/6/2008,Bill Pay Wells Fargo Educ Recurring 0443139183 On 05/06 800.00,800.00
Food/Drink,5/7/2008,Starbucks Usa 00055848 San Francisco Ca 3.50,3.50
Food/Drink,5/7/2008,Una Mas Redwood City Ca 130840009011666 8.49,8.49
Food/Drink,5/7/2008,Pluto'S 1 Marina Q23 San Francisco Ca 11.56,11.56
Auto/Transportation,5/7/2008,Union 76 10028231 San Carlos Ca 47.50,47.50
Mortgage / Rent,5/7/2008,Withdrawal Made In A Branch/Store 845.00,845.00
Food/Drink,5/8/2008,The Patio Cafe Redwood City Ca 4.00,4.00
,5/8/2008,San Maeto Pet Supply Redwood City Ca 6.72,6.72
Groceries,5/8/2008,Nob Hill #628 Nob Hill Redwood City Ca 7.03,7.03
Food/Drink,5/8/2008,Bills Place San Francisco Ca 132840016799339 9.77,9.77
,5/8/2008,Joann Fabric #0871 Redwood City Ca 10.09,10.09
Food/Drink,5/8/2008,Round Table Pizza Sf G San Francisco Ca 29.41,29.41
Food/Drink,5/9/2008,Starbucks Usa 00055848 San Francisco Ca 3.50,3.50
,5/9/2008,Speakeasy San Francisco Ca 132840023536000 10.00,10.00
Auto/Transportation,5/10/2008,7-Eleven 7-Eleven San Francisco,2.92
,5/10/2008,Standard Plbg & Hardwa San Francisco Ca 8.45,8.45
Food/Drink,5/10/2008,Bills Place San Francisco Ca 133840006836876 29.02,29.02
,5/10/2008,"Curbside Too, Llc San Francisco Ca 97.25",97.25
Auto/Transportation,5/11/2008,Valero #7262 San Francisco Ca 50.85,50.85
Other Spending,5/12/2008,Monthly Service Fee 5.00,5.00
Food/Drink,5/12/2008,Pluto'S 2 Sunset Q23 San Francisco Ca 9.77,9.77
,5/12/2008,Alcatraz Trips 985-253-1900Ca 23.95,23.95
,5/12/2008,Sf Aids Foundation 415-4873000Ca 600.00,600.00
Groceries,5/13/2008,Nob Hill #628 Nob Hill Redwood City Ca 7.07,7.07
,5/13/2008,Alcatraz Cruises Mot 415-7888866Ca 63.00,63.00
Food/Drink,5/14/2008,The Patio Cafe Redwood City Ca 10.80,10.80
Auto/Transportation,5/15/2008,7-Eleven 7-Eleven San Francisco,7.10
Food/Drink,5/15/2008,Baja Fresh 10278 San Carlos Ca 9.24,9.24
Auto/Transportation,5/15/2008,Union 76 10011336 Cupertino Ca 46.30,46.30
Groceries,5/16/2008,Tigers Liquors Tigers Liqsan Francisco 20.02,20.02
Food/Drink,5/16/2008,Bills Place San Francisco Ca 139840011239906 31.74,31.74
Shopping,5/16/2008,The Sports Basement-Pr San Francisco Ca 44.73,44.73
Cash/ATM,5/16/2008,ATM Withdrawal 05/16 Cs3647 2062 Divasaderostar Ne San Francisco 62.25,62.25
,5/17/2008,Beverages & Morbeverages San Francisc Ca 215.60,215.60
Other Spending,5/19/2008,Non-Wells Fargo ATM Transaction Fee 2.50,2.50
Shopping,5/19/2008,Amz*Amazon Payments Amzn.Com/Bill Wa 29.18,29.18
Food/Drink,5/19/2008,Bills Place San Francisco Ca 142840006586635 64.83,64.83
Transfers to other Wells Fargo Accounts,5/20/2008,Recurring Transfer Ref #Opemkfqvn8 To Savings,10.00
Food/Drink,5/20/2008,Quiznos Subs #4120 Belmont Ca 12.10,12.10
Groceries,5/20/2008,Safeway Store Safeway Ssan Francisco 33.68,33.68
,5/20/2008,Olympian #233 San Francisco Ca 48.10,48.10
Groceries,5/21/2008,Nob Hill #628 Nob Hill Redwood City Ca 8.38,8.38
Shopping,5/22/2008,Paypal *Minge 402-935-7733Ca 4.95,4.95
Groceries,5/22/2008,Nob Hill #628 Nob Hill Redwood City Ca 9.24,9.24
,5/22/2008,Tm *M.I.A. 415-421-8497Ca 48.50,48.50
Auto/Transportation,5/23/2008,Union 76 10028231 San Carlos Ca 47.65,47.65
Bills/Utilities,5/23/2008,Golden Gate Disp & 415-626-4000Ca 71.67,71.67
Shopping,5/23/2008,Paypal *Eharmony 800-648-9548Ca 110.85,110.85
Food/Drink,5/26/2008,Bills Place San Francisco Ca 150840006597588 9.77,9.77
Auto/Transportation,5/26/2008,Shaw'S Beacon Shaw'S Beasalinas Ca 46.97,46.97
,5/27/2008,Sf Aids Foundation 415-4873000Ca 25.00,25.00
Groceries,5/28/2008,Nob Hill #628 Nob Hill Redwood City Ca 7.07,7.07
,5/28/2008,Journeys #489 4Journeys #San Mateo Ca 70.35,70.35
Food/Drink,5/29/2008,Baja Fresh 10278 San Carlos Ca 9.03,9.03
Groceries,5/29/2008,Safeway Store Safeway Ssan Francisco 41.62,41.62
Auto/Transportation,5/29/2008,Shell Oil 27441747907 San Francisco Ca 46.15,46.15
Shopping,5/29/2008,Bill Pay Macy'S (For All On-Line,179.59
Health,5/30/2008,Walgreen Companwalgreen Csan Francisco 4.87,4.87
Cash/ATM,5/30/2008,ATM Withdrawal 05/30 0158A 1045 Ralston Ave Belmont Ca 60.00,60.00
Shopping,5/30/2008,The Sports Basement-Pr San Francisco Ca 80.54,80.54
Food/Drink,5/31/2008,Pluto'S 1 Marina Q23 San Francisco Ca 21.32,21.32
Other Spending,6/1/2008,Bill Pay Service Fee On 06/01 6.95,6.95
Health,6/2/2008,Walgreen Companwalgreen Csan Francisco 5.41,5.41
Food/Drink,6/2/2008,Noah'S Ny Bagels #2120 San Francisco Ca 8.45,8.45
Auto/Transportation,6/2/2008,Shell Oil 27441747907 San Francisco Ca 50.94,50.94
Food/Drink,6/2/2008,Park Chow San Francisco Ca 55.00,55.00
,6/2/2008,Tickets* Sf Giant00 Of 800-3520212Ca 68.50,68.50
,6/3/2008,Tm *Spoon 415-421-8497Ca 73.35,73.35
Groceries,6/3/2008,Delano'S Iga Madelano'S Isan Francisco 123.14,123.14
Food/Drink,6/4/2008,Quiznos Subs #4120 Belmont Ca 10.79,10.79
Food/Drink,6/5/2008,Baja Fresh 10278 San Carlos Ca 9.24,9.24
Auto/Transportation,6/5/2008,Union 76 10032571 San Francisco Ca 48.51,48.51
Cash/ATM,6/6/2008,ATM Withdrawal 06/06 0019D 3624 Geary Blvd San Francisco Ca 80.00,80.00
Payments to Non-Wells Fargo Credit Cards,6/6/2008,Bill Pay Bank Of America Recurring,150.00
Credit Card/Loan Payments,6/6/2008,Bill Pay Wells Fargo Educ Recurring 0443139183 On 06/06 800.00,800.00
Food/Drink,6/7/2008,Extreme Pizza San Francisco Ca 33.82,33.82
,6/7/2008,15 Romolo-Basque Hotel San Francisco Ca 73.00,73.00
Groceries,6/9/2008,Nob Hill #628 Nob Hill Redwood City Ca 9.52,9.52
Auto/Transportation,6/9/2008,Union 76 00362806 San Francisco Ca 49.17,49.17
Checks Written,6/9/2008,Check # 384,90.00
,6/10/2008,Longs Drugs 017Longs Drugsan Carlos Ca 6.81,6.81
Food/Drink,6/10/2008,Una Mas Redwood City Ca 164840009131003 9.14,9.14
Food/Drink,6/10/2008,Blue Plate San Francisco Ca 163840007084633 139.47,139.47
